Date,Investment Category,Type,Stock,Transacted Units,Transacted Price (per unit),Fees,Stock Split Ratio,Previous Units,Cumulative Units,Transacted Value,Previous Cost,Cost of Transaction,Avg Stock Price,Cumulative Cost,Gains/Losses from Sale,Realised Gains/Losses %,,,,,,,
2022-12-30,HK Stock Citi SG,Div,0823,3073,$1.56,$0.00,0.0,3073,3073,"$4,778.82","$210,013.37",-,-,"$210,013.37","$4,778.82",,,,,,,,
2023-01-04,HK Stock IB,Buy,3690,260,$0.00,$0.00,0.0,6900,7160,$0.00,"$1,295,970.93",-,-,"$1,295,970.93",$0.00,,,,,,,,
2023-01-31,US Stock IB,Div,JPM,300,$1.00,$90.00,0.0,300,300,$210.00,"$39,315.02",-,-,"$39,315.02",$210.00,,,,,,,,
2023-02-15,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,,,,,,
2023-02-16,US Stock IB,Div,AAPL,2120,$0.23,$146.28,0.0,2120,2120,$341.32,"$347,581.64",-,-,"$347,581.64",$341.32,,,,,,,,
2023/01/31,US Stock Citi SG,Sell,OPA,5000,$10.14,$77.22,0.0,5000.0,0,"$50,622.78","$50,074.00","$50,074.00",$10.01,$0.00,$548.78,,,,,,,,
2022-12-01,US Stock IB,Div,V,450,$0.45,$60.75,0.0,450,450,$141.75,"$98,138.25",-,-,"$98,138.25",$141.75,,,,,,,,
2023-03-03,US Stock IB,Div,PFE,1000,$0.41,$123.00,0.0,1000,1000,$287.00,"$52,640.84",-,-,"$52,640.84",$287.00,,,,,,,,
2023-03-21,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,,,,,,
2023-03-22,HK Stock IB,Div,0388,8900,$3.69,$0.00,0.0,9300,9300,"$32,841.00","$3,272,522.92",-,-,"$3,272,522.92","$32,841.00",,,,,,,,
2023-03-22,HK Stock Citi SG,Div,0388,400,$3.69,$0.00,0.0,9300,9300,"$1,476.00","$3,272,522.92",-,-,"$3,272,522.92","$1,476.00",,,,,,,,
2023-03-22,HK Stock Citi SG,Buy,0823,615,$44.20,$0.00,0.0,3073,3688,"$27,183.00","$210,013.37",-,-,"$237,196.37",$0.00,,,,,,,,
